Measure code,Parent Description,Measure Description,2011,2016,2018,2019,2020,2021,2022,2023,2024,LGA,Region,,,,
,,,,,,,,,,,,,,,,,
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,158745,158876,157421,157467,158672,160137,Yarra Ranges,Eastern,,,,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,79019,79078,78226,78199,78652,,Yarra Ranges,Eastern,,,,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,79726,79798,79195,79268,80042,,Yarra Ranges,Eastern,,,,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.1,39.4,40.1,40.3,40.4,,Yarra Ranges,Eastern,,,,
,,,,,,,,,,,,,,,,,
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,175862,176794,171077,172607,178714,183462,Whitehorse,Eastern,,,,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,85621,86056,83209,84023,87321,,Whitehorse,Eastern,,,,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,90241,90738,87868,88584,91318,,Whitehorse,Eastern,,,,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38,38.5,39.2,39.1,38.5,,Whitehorse,Eastern,,,,
,,,,,,,,,,,,,,,,,
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,199762,200791,192893,195081,203687,209268,Monash,Eastern,,,,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,100135,100699,96650,97586,102207,,Monash,Eastern,,,,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,99627,100092,96243,97495,101353,,Monash,Eastern,,,,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.5,37.1,38,37.6,36.5,,Monash,Eastern,,,,
,,,,,,,,,,,,,,,,,
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,117965,118295,116075,115759,117432,119354,Maroondah,Eastern,,,,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,57566,57706,56451,56270,57041,,Maroondah,Eastern,,,,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,60399,60589,59624,59489,60393,,Maroondah,Eastern,,,,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38.3,38.7,39.4,39.6,39.7,,Maroondah,Eastern,,,,
,,,,,,,,,,,,,,,,,
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,126873,127987,125821,126570,129543,131761,Manningham,Eastern,,,,
