LGA,Median Age,Total Population,Region,,,,,
BANYULE,40.3,129607,Northern,,,,,
BAYSIDE,45.5,104307,Inner South East,,,,,
BOROONDARA,39.6,174633,Inner South East,,,,,
BRIMBANK,38,196059,Western,,,,,
CARDINIA,34.9,126932,Southern,,,,,
CASEY,34.5,392060,Southern,,,,,
DAREBIN,36.8,155713,Northern,,,,,
FRANKSTON,39.2,142808,Southern,,,,,
GLEN EIRA,37.6,156897,Inner South East,,,,,
GREATER DANDENONG,36.1,163824,Southern,,,,,
HOBSONS BAY,39.8,93740,Western,,,,,
HUME,33.9,262741,Northern,,,,,
KINGSTON,41,163736,Southern,,,,,
KNOX,40.8,161765,Eastern,,,,,
MANNINGHAM,42.8,129543,Eastern,,,,,
MARIBYRNONG,35,91776,Western,,,,,
MAROONDAH,39.7,117432,Eastern,,,,,
MELBOURNE,29.5,177785,Inner Metro,,,,,
MELTON,33.4,206021,Western,,,,,
MITCHELL,36.6,53712,Northern,,,,,
MONASH,36.5,203687,Eastern,,,,,
MOONEE VALLEY,39.1,126499,Western,,,,,
MORELAND,35.1,181265,Northern,,,,,
MORNINGTON PENINSULA,48.8,170245,Southern,,,,,
NILLUMBIK,43,63259,Northern,,,,,
PORT PHILLIP,37.6,109585,Inner Metro,,,,,
STONNINGTON,35.6,111416,Inner South East,,,,,
WHITEHORSE,38.5,178714,Eastern,,,,,
WHITTLESEA,35.6,245013,Northern,,,,,
WYNDHAM,33,324061,Western,,,,,
YARRA,34.1,97505,Inner Metro,,,,,
YARRA RANGES,40.4,158672,Eastern,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
